Topic,Interpreations Versuchsperson 1,Interpreations Versuchsperson 2,Interpreations Versuchsperson 3,Ergebnis
0,Finanzen,Bankenwelt,Geldgeschäfte,Finanzwelt
1,World Health,Coronakrise,Covid 19,Coronakrise
2,Kreativität,Buchauthor,Schreiben,Bücher
3,Digitalisierung,Digitale Welt ,Digitalisierung,Digitalisierung
4,Darstellende Kunst,Kultur,Unterhaltung,Kultur
5,Familie,Familienzeit ,Zeit,Familienzeit 
6,Stadtplanung,Bürozentrum,Städteplanung,Städteplanung
7,Marketing,Kunde ist König,Kundenbeziehung,Kunden
8,Staat,Wahlen,Staat,Staat
9,Arbeitswelt,Mitarbeiterzufriedenheit,Arbeitsplatz,Artbeitswelt
10,Kunst,Kunstausstellung,Kunstszene,Kunst
11,Leben,Beziehungen,?,Alltag
12,Sport,Sportveranstaltung,Sport,Sport
13,Wirtschaft,Aktienwert,Börsennotiertes Unternehmen,Unternehmen
14,Bildung,Schulausbildung,Ausbildung,Bildung
15,Gesundheit,Medizinische Versorgung,Gesundheitssystem,Gesundheitswesen
16,Fortbewegung,Transportmittel,Mobilität,Mobilität
17,Politik/Wahlen,Wahlkampf,Wahl,Wahlen
18,Digitaler Kontent,Internetseite,Medien,Digitale Medien
19,Digitaler Staat,?,Digitales Geschäft,Digitaler Staat
20,Wirtschaftsinformatik,Datensicherheit,Informtionssysteme,Wirtschaftsinformatik
21,Fertigung,Stromherstellung ,Industrie,Fertigungsindustrie